Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3
24904,A Birthday for Frances,1:26,32,4:731,total:2535,6,6,Harper Collins,72,2002,eng,Russell Hoban,4.24,2:66,5:1261,0099432447,3:451
24905,Pilgermann,1:4,240,4:123,total:306,2,1,Bloomsbury Publishing PLC,13,2002,en-GB,Russell Hoban,4.02,2:18,5:107,0747556407,3:54
24906,A Russell Hoban Omnibus,1:1,832,4:8,total:34,1,10,Indiana University Press,4,1999,,Russell Hoban,4.38,2:1,5:21,0253335868,3:3
24908,How Tom Beat Captain Najork and His Hired Sportsmen (Captain Najork #1),1:4,32,4:99,total:343,1,10,David R. Godine,42,2006,eng,Russell Hoban,4.29,2:13,5:183,1567923224,3:44
24911,Conversations with E. L. Doctorow,1:0,262,4:6,total:12,30,8,University Press of Mississippi,0,2011,,E.L. Doctorow,3.75,2:1,5:2,157806144X,3:3
24913,Creationists: Selected Essays: 1993-2006,1:3,192,4:55,total:154,19,9,Random House,27,2006,,E.L. Doctorow,3.49,2:14,5:20,1400064953,3:62
24915,Welcome to Hard Times,1:24,224,4:701,total:1671,1,7,Plume,116,1996,,E.L. Doctorow,3.8,2:101,5:392,0452275717,3:453
24917,Three Complete Novels: Billy Bathgate/World's Fair/Loon Lake,1:0,658,4:8,total:17,8,5,Wings,3,1994,eng,E.L. Doctorow,4.29,2:0,5:7,0517100789,3:2
24918,E.L. Doctorow's Ragtime (Modern Critical Interpretations),1:2,182,4:16,total:43,31,12,Chelsea House Publications,1,2002,,Harold Bloom,3.77,2:1,5:11,0791063437,3:13
24920,The Discomfort Zone: A Personal History,1:153,195,4:1918,total:5610,5,9,Farrar Straus Giroux,532,2006,eng,Jonathan Franzen,3.4,2:719,5:681,0374299196,3:2139
24925,La conjura de los necios,1:12967,462,4:65188,total:222728,10,1,Quinteto,6,2006,spa,John Kennedy Toole,3.89,2:18213,5:88121,8496333604,3:38239
24928,The Best American Short Stories 2005,1:10,432,4:533,total:1168,5,10,Mariner Books,87,2005,,Michael Chabon,3.94,2:39,5:312,0618427058,3:274
24929,Lost,1:1828,340,4:2369,total:13695,17,9,William Morrow Paperbacks,908,2002,eng,Gregory Maguire,2.8200000000000003,2:3559,5:1166,0060988649,3:4773
24930,The Dream Stealer,1:9,132,4:153,total:436,21,10,Clarion Books,56,2002,eng,Gregory Maguire,3.64,2:42,5:92,0618181881,3:140
24932,"A Wonderful Welcome to Oz: The Marvelous Land of Oz, Ozma of Oz, & the Emerald City of Oz",1:1,596,4:47,total:121,11,4,Modern Library,12,2006,,L. Frank Baum,4.21,2:2,5:52,0812974948,3:19
24933,"Four Stupid Cupids (The Hamlet Chronicles, #4)",1:4,224,4:37,total:117,4,12,HarperCollins,11,2001,eng,Gregory Maguire,3.52,2:10,5:21,0064410722,3:45
24934,Leaping Beauty: And Other Animal Fairy Tales,1:46,224,4:334,total:1182,21,2,HarperCollins,156,2006,,Gregory Maguire,3.39,2:180,5:198,0060564199,3:424
24935,One Final Firecracker (The Hamlet Chronicles #7),1:2,240,4:18,total:44,23,5,Clarion Books,0,2005,,Gregory Maguire,3.73,2:2,5:10,0618274804,3:12
24937,Wicked: The Grimmerie,1:919,192,4:14824,total:49272,26,10,Hachette Books,291,2005,eng,David Cote,4.18,2:1704,5:23519,1401308201,3:8306
24938,Wicked - Piano/Vocal Arrangement,1:101,120,4:2986,total:11233,1,6,Hal Leonard,40,2004,,Stephen Schwartz,4.45,2:182,5:6864,063407881X,3:1100
24939,"A Little Bit Wicked (Last Man Standing, #1)",1:50,359,4:857,total:2355,26,12,Avon,89,2006,eng,Victoria Alexander,3.8,2:149,5:634,006088262X,3:665
24940,"Wicked: A New Musical, Easy Piano",1:101,108,4:2986,total:11233,1,12,Hal Leonard Publishing Corporation,1,2004,,Stephen Schwartz,4.45,2:182,5:6864,0634087932,3:1100
24941,"Wild and Wicked in Scotland (Charmed and Dangerous, #1)",1:8,384,4:113,total:312,26,12,Avon,20,2006,,Melody Thomas,3.7199999999999998,2:20,5:74,0061129593,3:97
24942,"My Wicked, Wicked Ways",1:35,438,4:638,total:1803,25,2,Aurum,118,2005,eng,Errol Flynn,4.02,2:59,5:662,1845130499,3:409
24943,The Wonderful Story of Henry Sugar,1:7,72,4:208,total:522,13,6,HarperFestival,75,2006,,Roald Dahl,3.9,2:26,5:152,0060536241,3:129
24945,The Wonderful Story Of Henry Sugar and Six More,1:115,224,4:6960,total:19027,27,9,Puffin Books,22,2001,eng,Roald Dahl,4.14,2:601,5:7806,0141311495,3:3545
24949,Danny The Champion of the World,1:594,196,4:18461,total:54527,1,6,Yearling,3,1984,eng,Roald Dahl,4.09,2:2260,5:22230,0553152890,3:10982
24950,Danny el Campeon del Mundo,1:594,195,4:18461,total:54527,1,1,Alfaguara,7,2001,,Roald Dahl,4.09,2:2260,5:22230,9681910133,3:10982
24953,Danny The Champion Of The World,1:594,256,4:18461,total:54527,7,11,Jonathan Cape,9,2002,eng,Roald Dahl,4.09,2:2260,5:22230,022406469X,3:10982
24955,"Danny, Champion Du Monde",1:594,281,4:18461,total:54527,5,9,Hachette,0,2001,fre,Roald Dahl,4.09,2:2260,5:22230,201321894X,3:10982
24956,The Science of the Hitchhiker's Guide to the Galaxy,1:4,208,4:68,total:208,8,8,Palgrave Macmillan,16,2006,eng,Michael Hanlon,3.61,2:22,5:44,0230008909,3:70
24958,The Dark Is Rising Sequence,1:233,786,4:4814,total:15984,25,10,Puffin Books (Penguin Books),16,1984,eng,Susan Cooper,4.28,2:515,5:8314,0140316884,3:2108
24960,Dark Force Rising,1:9,160,4:171,total:505,8,2,Dark Horse Comics,19,1998,,Mike Baron,3.83,2:33,5:150,1569712697,3:142
24962,Dark Water Rising,1:27,233,4:401,total:1039,19,9,Henry Holt and Co.,162,2006,,Marian Hale,3.8200000000000003,2:88,5:294,0805075852,3:229
24964,The Essential Kierkegaard,1:23,524,4:649,total:1833,19,6,Princeton University Press,45,2000,eng,Søren Kierkegaard,4.2,2:52,5:823,0691019401,3:286
24965,Fear and Trembling,1:409,160,4:6499,total:18125,30,5,Penguin Books,579,2006,eng,Søren Kierkegaard,4.0,2:933,5:6665,0143037579,3:3619
24968,Fear and Trembling/Repetition,1:52,420,4:1502,total:4791,1,6,Princeton University Press,97,1983,eng,Søren Kierkegaard,4.23,2:158,5:2318,0691020264,3:761
24969,The Prayers of Kierkegaard,1:0,256,4:43,total:110,1,5,University of Chicago Press,12,1996,,Søren Kierkegaard,4.28,2:0,5:49,0226470571,3:18
24970,Either/Or: A Fragment of Life,1:78,640,4:2418,total:6948,1,12,Penguin Classics,134,1992,eng,Søren Kierkegaard,4.17,2:261,5:3068,0140445773,3:1123
24972,The Sickness Unto Death: A Christian Psychological Exposition for Upbuilding and Awakening,1:134,201,4:2855,total:8192,21,11,Princeton University Press,172,1983,,Søren Kierkegaard,4.09,2:372,5:3373,0691020280,3:1458
24973,Søren Kierkegaard: A Biography,1:6,896,4:95,total:259,17,1,Princeton University Press,19,2005,,Joakim Garff,4.15,2:10,5:113,069109165X,3:35
24974,New Essays on Their Eyes Were Watching God,1:0,140,4:3,total:6,28,3,Cambridge University Press,0,1991,,Michael Awkward,4.17,2:0,5:2,0521387752,3:1
24975,God and the American Writer,1:0,288,4:12,total:28,27,10,Vintage,8,1998,,Alfred Kazin,3.71,2:2,5:5,0679733418,3:9
24978,Inside Job,1:18,99,4:681,total:1718,1,6,Subterranean Press,181,2005,eng,Connie Willis,3.67,2:115,5:312,1596060247,3:592
24979,Miracle and Other Christmas Stories,1:21,336,4:759,total:1920,31,10,Bantam,199,2000,eng,Connie Willis,3.9,2:92,5:549,0553580485,3:499
24980,Lincoln's Dreams,1:104,245,4:1272,total:3904,1,6,Bantam Doubleday Dell Publishing Company Inc.,306,1992,eng,Connie Willis,3.52,2:483,5:718,0553270257,3:1327
24981,"To Say Nothing of the Dog, Or, How We Found the Bishop's Bird Stump at Last",1:483,493,4:11680,total:31280,1,12,Turtleback Books,18,1998,,Connie Willis,4.13,2:1231,5:12971,0613152425,3:4915
24982,Uncharted Territory,1:22,149,4:458,total:1356,1,6,Spectra,125,1994,eng,Connie Willis,3.5,2:140,5:205,0553562940,3:531
24984,Passage,1:267,780,4:2889,total:8153,2,1,Bantam,761,2002,eng,Connie Willis,3.68,2:801,5:2014,0553580515,3:2182
24985,Bellwether,1:133,248,4:4285,total:10563,2,6,Spectra,1123,1997,eng,Connie Willis,3.92,2:499,5:3112,0553562967,3:2534
24988,Never Give In!: The Best of Winston Churchill's Speeches,1:5,558,4:202,total:594,10,11,Hachette Books,25,2004,,Winston S. Churchill,4.18,2:22,5:264,0786888709,3:101
24990,Never Give in: The Extraordinary Character of Winston Churchill,1:1,236,4:124,total:276,20,9,Cumberland House Publishing,28,2002,,Stephen Mansfield,4.03,2:11,5:87,1581823223,3:53
24994,Life is an Attitude: How Tragedy Taught Me That Life is an Attitude,1:1,304,4:7,total:37,1,3,Harvest House Publishers,5,2002,,Ron Heagy,4.3,2:1,5:22,0736909451,3:6
24996,Never Give Up: Vignettes from Sub-Saharan Africa in the Age of AIDS,1:0,198,4:5,total:18,1,8,Syren Book Company,0,2006,,Kevin Winge,4.06,2:0,5:7,0929636651,3:6
24997,"Never Give In, Never Give Up",1:1,294,4:6,total:21,1,10,Sourcebooks,4,2005,,Carlana Stone Lawson,3.43,2:1,5:3,1402205783,3:10
24998,"Mozart in the Jungle: Sex, Drugs, and Classical Music",1:124,318,4:700,total:2290,8,6,Grove Press,266,2006,,Blair Tindall,3.35,2:341,5:340,0802142532,3:785
24999,The Poetics of Manhood: Contest and Identity in a Cretan Mountain Village,1:1,336,4:9,total:31,21,11,Princeton University Press,1,1988,,Michael Herzfeld,3.77,2:3,5:10,0691102449,3:8
25000,Catullus and the Poetics of Roman Manhood,1:0,260,4:5,total:8,9,6,Cambridge University Press,1,2001,,David Wray,3.62,2:0,5:0,0521661277,3:3
25001,Victorian Masculinities: Manhood and Masculine Poetics in Early Victorian Literature and Art,1:0,239,4:3,total:12,27,1,Cambridge University Press,1,1995,,Herbert L. Sussman,3.5,2:3,5:3,0521465710,3:3
25002,Writing Degree Zero,1:20,96,4:527,total:1382,1,5,Hill and Wang,0,1977,eng,Roland Barthes,3.88,2:80,5:408,0809013843,3:347
25003,"Christianity and the Transformation of the Book: Origen, Eusebius, and the Library of Caesarea",1:1,367,4:20,total:38,1,11,Belknap Press,3,2006,,Anthony Grafton,4.11,2:0,5:12,0674023145,3:5
25004,What Was History?: The Art of History in Early Modern Europe,1:1,319,4:13,total:30,1,3,Cambridge University Press,5,2007,,Anthony Grafton,4.07,2:1,5:11,052169714X,3:4
25005,"New Worlds, Ancient Texts: The Power of Tradition and the Shock of Discovery",1:0,296,4:27,total:74,15,3,Belknap Press,4,1995,eng,Anthony Grafton,3.62,2:5,5:12,0674618769,3:30
25006,Bring Out Your Dead: The Past as Revelation,1:0,360,4:4,total:11,18,10,Harvard University Press,1,2004,,Anthony Grafton,4.09,2:0,5:4,0674015975,3:3
25007,Forgers and Critics: Creativity and Duplicity in Western Scholarship,1:1,168,4:7,total:22,27,3,Princeton University Press,0,1990,,Anthony Grafton,3.55,2:1,5:4,0691055440,3:9
25008,Commerce with the Classics: Ancient Books and Renaissance Readers,1:0,264,4:3,total:5,15,10,University of Michigan Press,0,1997,,Anthony Grafton,4.0,2:0,5:1,0472106260,3:1
25009,Natural Particulars: Nature and the Disciplines in Renaissance Europe,1:0,438,4:2,total:5,24,4,MIT Press,1,2000,,Anthony Grafton,3.8,2:0,5:1,0262071932,3:2
25010,The Footnote: A Curious History,1:7,256,4:69,total:219,1,4,Harvard University Press,28,1999,,Anthony Grafton,3.59,2:20,5:47,0674307607,3:76
25011,Secrets of Nature: Astrology and Alchemy in Early Modern Europe,1:0,452,4:8,total:18,20,1,MIT Press,0,2006,,William R. Newman,4.33,2:0,5:8,0262640627,3:2
25012,The Book of My Life,1:2,320,4:28,total:72,31,10,NYRB Classics,12,2002,en-GB,Girolamo Cardano,3.75,2:4,5:17,1590170164,3:21
25013,A Crack in the Edge of the World,1:132,419,4:2443,total:6167,10,10,Harper Perennial,501,2006,eng,Simon Winchester,3.7800000000000002,2:448,5:1550,0060572000,3:1594
25014,The Map That Changed the World: William Smith and the Birth of Modern Geology,1:190,329,4:4486,total:11482,30,7,Perennial,546,2002,eng,Simon Winchester,3.8200000000000003,2:687,5:3003,0060931809,3:3116
25015,The River at the Center of the World: A Journey Up the Yangtze & Back in Chinese Time,1:31,416,4:649,total:1623,1,4,Picador,95,2004,eng,Simon Winchester,3.92,2:80,5:496,0312423373,3:367
25016,Outposts: Journeys to the Surviving Relics of the British Empire,1:27,400,4:534,total:1380,15,6,Harper Perennial,107,2004,eng,Simon Winchester,3.7800000000000002,2:86,5:344,0060598611,3:389
25017,"Krakatoa: The Day the World Exploded: August 27, 1883",1:298,464,4:6747,total:17154,5,7,Harper Perennial,1081,2005,eng,Simon Winchester,3.87,2:992,5:4891,0060838590,3:4226
25018,Korea: A Walk Through the Land of Miracles,1:25,336,4:243,total:667,31,5,Harper Perennial,81,2005,,Simon Winchester,3.51,2:61,5:103,0060750448,3:235
25020,Small World,1:1,96,4:21,total:62,1,1,Dewi Lewis Publishing,0,2002,,Martin Parr,4.13,2:1,5:26,1899235051,3:13
25021,How the Irish Saved Civilization,1:1215,256,4:13602,total:37920,3,3,Sceptre,13,2003,en-GB,Thomas Cahill,3.81,2:2683,5:11095,0340637870,3:9325
25022,"The Irish Pub Cookbook: (Irish Cookbook, Book on Food from Ireland, Pub Food from Ireland)",1:1,224,4:81,total:230,22,12,Chronicle Books,7,2005,,Margaret M. Johnson,4.02,2:8,5:82,0811844854,3:58
25023,Irish Traditional Cooking: Over 300 Recipes from Ireland's Heritage,1:3,288,4:84,total:238,22,12,Kyle Books,7,2004,eng,Darina Allen,4.19,2:7,5:106,190492011X,3:38
25024,An Irish Night Before Christmas,1:0,32,4:22,total:59,30,4,Pelican,5,1995,,Sarah Kirwan Blazek,4.08,2:0,5:21,1565540867,3:16
25025,The Scotch-Irish: A Social History,1:2,377,4:105,total:245,30,8,University of North Carolina Press,25,1989,eng,James Graham Leyburn,3.96,2:11,5:73,0807842591,3:54
25026,Wicked Irish,1:2,64,4:22,total:58,1,7,Workman Publishing Company,5,1999,,Howard Tomb,4.09,2:1,5:23,076111355X,3:10
25027,Irish Blessings,1:1,128,4:10,total:42,22,2,Running Press,2,1999,eng,Ashley Shannon,4.07,2:3,5:20,0762404787,3:8
25028,Cowboy Lingo,1:0,272,4:12,total:28,20,11,Mariner Books,2,2000,,Ramon F. Adams,4.21,2:2,5:12,0618083499,3:2
25030,"Cowboy Songs, Jokes, Lingo 'n Lore: Songs of the Wild Frontier",1:0,64,4:3,total:7,1,9,Native Ground Music,0,2011,,Wayne Erbsen,4.0,2:0,5:2,1883206065,3:2
25031,"Cowboy Songs, Jokes, Lingo N'Lore",1:0,67,4:0,total:1,1,10,Mel Bay Publications,0,2008,,Wayne Erbsen,5.0,2:0,5:1,0786623381,3:0
25032,Classical Drawing Atelier: A Contemporary Guide to Traditional Studio Practice,1:116,160,4:922,total:3732,1,11,Watson-Guptill,24,2006,eng,Juliette Aristides,4.12,2:211,5:1849,0823006573,3:634
25033,Common Herbs for Natural Health,1:1,223,4:29,total:114,11,4,Ash Tree Publishing,7,1996,eng,Juliette De Bairacli Levy,4.45,2:2,5:70,0961462094,3:12
25034,The Complete Herbal Handbook for the Dog and Cat,1:3,368,4:35,total:109,8,4,Faber  Faber,7,1991,eng,Juliette De Bairacli Levy,4.31,2:2,5:58,0571161154,3:11
25036,Super Chef: The Making of the Great Modern Restaurant Empires,1:0,236,4:3,total:14,20,4,Free Press,0,2004,,Juliette Rossant,3.64,2:2,5:4,0743241711,3:5
25037,El rey de Les Halles,1:5,448,4:96,total:288,1,1,Ediciones B,5,2007,spa,Juliette Benzoni,4.19,2:7,5:132,8466619453,3:48
25038,Juliette Low: Girl Scout Founder,1:4,112,4:34,total:91,1,4,"Patria Press, Inc",4,2002,,Helen Boyd Higgins,3.68,2:6,5:21,188285909X,3:26
25039,Maltese,1:0,158,4:3,total:7,1,9,Kennel Club Books,1,2003,,Juliette Cunliffe,3.71,2:0,5:1,1593782519,3:3
25041,"The Case of the Snowboarding Superstar (Jigsaw Jones, #29)",1:2,80,4:38,total:126,1,1,Scholastic,13,2006,en-US,James Preller,3.98,2:9,5:49,0439793955,3:28
25042,Case Of The Santa Claus Mystery,1:1,112,4:17,total:55,1,10,Scholastic Inc.,2,2006,,James Preller,3.93,2:4,5:20,0439793963,3:13
25043,"The Case of the Great Sled Race (Jigsaw Jones, #8)",1:6,80,4:43,total:154,1,3,Scholastic Paperbacks,9,2001,,James Preller,3.89,2:4,5:55,0439114276,3:46
25044,The Case of the Kidnapped Candy (Jigsaw Jones Mystery #30),1:1,80,4:32,total:106,1,1,Scholastic,6,2007,eng,James Preller,3.75,2:11,5:30,0439896185,3:32
25045,"The Case of the Marshmallow Monster (Jigsaw Jones, #11)",1:5,80,4:70,total:237,1,3,Scholastic Paperbacks,17,2001,en-US,James Preller,3.92,2:16,5:87,0439184738,3:59
25046,Jigsaw Jones' Detective Tips (Jigsaw Jones Mystery),1:1,112,4:15,total:55,1,12,Scholastic Paperbacks,4,2006,,James Preller,3.98,2:3,5:22,0439793971,3:14
25047,"The Case of the Stinky Science Project (Jigsaw Jones, #9)",1:5,80,4:47,total:165,1,3,Scholastic Paperbacks,11,2001,en-US,James Preller,3.84,2:9,5:55,0439114284,3:49
25048,The Case Of The Buried Treasure,1:1,112,4:32,total:112,1,1,Scholastic Paperbacks,9,2002,eng,James Preller,3.91,2:6,5:39,043930931X,3:34
25049,"The Case Of The Disappearing Dinosaur (Jigsaw Jones, #17)",1:6,96,4:30,total:105,1,3,Scholastic Paperbacks,8,2002,,James Preller,3.75,2:5,5:33,0439306396,3:31
25050,"The Case of the Mummy Mystery (Jigsaw Jones, #6)",1:17,80,4:83,total:346,1,3,Scholastic Paperbacks,22,2001,en-US,James Preller,3.8200000000000003,2:18,5:126,0439080940,3:102
25051,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",1:1042,128,4:14877,total:50357,14,8,HarperCollins,1097,2007,eng,Betty MacDonald,4.16,2:1897,5:23747,0064401480,3:8794
25052,"Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",1:340,192,4:4062,total:14106,14,8,HarperCollins,239,2007,eng,Betty MacDonald,4.16,2:549,5:6756,0064401510,3:2399
25053,"Hello, Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #4)",1:195,125,4:4293,total:15163,14,8,HarperCollins,207,2007,eng,Betty MacDonald,4.24,2:456,5:7706,0064401499,3:2513
25055,"Mrs. Piggle-Wiggle Treasury (Mrs. Piggle Wiggle, #1-2, #4)",1:7,392,4:267,total:964,15,6,HarperCollins,88,1995,eng,Betty MacDonald,4.46,2:14,5:586,0060248122,3:90
25059,"Brightness Reef (Uplift Storm Trilogy, #1)",1:121,661,4:3874,total:9569,1,10,Spectra,153,1996,eng,David Brin,3.9,2:457,5:2712,0553573306,3:2405
25060,Brightness Falls,1:52,432,4:1166,total:3052,6,8,Bloomsbury,0,2001,eng,Jay McInerney,3.75,2:208,5:710,0747553718,3:916
25061,This Side of Brightness,1:45,304,4:1377,total:3157,1,1,Picador,267,2003,eng,Colum McCann,3.85,2:186,5:793,0312421974,3:756
25063,A Fierce Brightness: Twenty-five Years of Women's Poetry,1:0,200,4:6,total:13,1,10,CALYX Books,0,2002,,Margarita Donnelly,4.54,2:0,5:7,093497182X,3:0
25065,"Dazzling Brightness (Greek Myths, #1)",1:17,446,4:63,total:207,1,6,Pinnacle,16,1994,eng,Roberta Gellis,3.84,2:18,5:81,0786000236,3:28
25066,Emptiness and Brightness,1:1,136,4:5,total:14,14,1,Polebridge Press,0,2013,,Don Cupitt,3.64,2:0,5:3,0944344879,3:5
25069,"Bright Lights, Big City",1:449,192,4:11050,total:27931,14,10,Editions de l'Olivier,5,1997,fre,Jay McInerney,3.77,2:1903,5:6610,2879290937,3:7919
25070,Bacchus and Me: Adventures in the Wine Cellar,1:13,304,4:135,total:366,12,3,Vintage,43,2002,,Jay McInerney,3.55,2:32,5:62,037571362X,3:124
25074,How it Ended,1:22,196,4:288,total:855,6,8,Bloomsbury Publishing PLC,57,2009,eng,Jay McInerney,3.5,2:88,5:134,0747553564,3:323
25076,Model Behavior,1:59,192,4:348,total:1269,14,3,Vintage,12,2000,,Jay McInerney,3.23,2:214,5:135,0679749535,3:513
25077,Brightness Falls & Story Of My Life,1:1,640,4:10,total:29,16,8,Bloomsbury Publishing PLC,3,2004,,Jay McInerney,3.55,2:4,5:6,0747574545,3:8
25078,Savage Inequalities: Children in America's Schools,1:143,272,4:6080,total:16546,12,6,Harper Perennial,671,1992,eng,Jonathan Kozol,4.25,2:394,5:7623,0060974990,3:2306
25079,"The Commitment: Love, Sex, Marriage, and My Family",1:89,291,4:2859,total:6584,1,10,Penguin Books,589,2006,,Dan Savage,3.94,2:268,5:1902,0452287634,3:1466
25080,The Political Zoo,1:16,384,4:74,total:252,18,2,Thomas Nelson,20,2007,,Michael Savage,3.61,2:26,5:69,1595550720,3:67
25082,Liberalism is a Mental Disorder,1:44,256,4:178,total:643,5,3,Thomas Nelson,38,2006,,Michael Savage,3.96,2:36,5:281,1595550437,3:104
25083,Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America,1:68,320,4:1342,total:3348,30,9,Penguin Books,196,2003,eng,Dan Savage,3.81,2:180,5:837,0452284163,3:921
25084,Savage Love: Straight Answers from America's Most Popular Sex Columnist,1:11,352,4:380,total:960,1,10,Penguin Books,62,1998,en-GB,Dan Savage,3.84,2:51,5:252,0452278155,3:266
25085,Savages,1:5,0,4:272,total:671,17,6,Random House Value Publishing,0,1997,,Joe Kane,4.06,2:25,5:236,051719306X,3:133
25086,The Savage Number: How Much Money Do You Need to Retire?,1:1,256,4:7,total:18,1,2,John Wiley & Sons,0,2007,,Terry Savage,3.61,2:2,5:4,0470067748,3:4
25087,The Last of the Savages,1:24,0,4:544,total:1448,7,5,Random House Value Publishing,0,1996,,Jay McInerney,3.71,2:120,5:323,0517304791,3:437
25088,Wizards: An Amazing Journey Through the Last Great Age of Magic,1:0,80,4:9,total:20,28,6,Greystone Books,3,2004,,Candace Savage,3.65,2:2,5:3,1553650395,3:6
25089,Why Buildings Stand Up: The Strength of Architecture,1:13,320,4:271,total:716,17,2,W. W. Norton  Company,37,2002,,Mario Salvadori,3.95,2:24,5:231,0393306763,3:177
25092,Motorcycle Journeys Through California & Baja,1:0,352,4:1,total:3,1,2,Whitehorse Press,1,2007,,Clement Salvadori,4.67,2:0,5:2,1884313604,3:0
25094,Structure in Architecture: The Building of Buildings,1:4,448,4:13,total:45,1,11,Prentice Hall,2,1985,,Mario Salvadori,3.71,2:3,5:15,0138541183,3:10
25099,"The Doll's House (The Sandman, #2)",1:173,232,4:24862,total:75319,10,3,Vertigo,1537,1999,eng,Neil Gaiman,4.44,2:827,5:42527,1563892251,3:6930
25100,"Dream Country (The Sandman, #3)",1:2898,111,4:27463,total:94006,5,2,DC Comics,1215,1999,eng,Neil Gaiman,4.24,2:2792,5:48911,156389226X,3:11942
25101,"Season of Mists (The Sandman, #4)",1:152,217,4:17062,total:59068,10,3,Vertigo,1057,1999,eng,Neil Gaiman,4.54,2:434,5:37424,1563890356,3:3996
25102,"A Game of You (The Sandman, #5)",1:158,192,4:15785,total:49852,10,3,Vertigo,889,1999,eng,Neil Gaiman,4.43,2:712,5:28184,1563890933,3:5013
25103,"World's End (The Sandman, #8)",1:109,160,4:12557,total:41773,16,7,Vertigo,686,1999,eng,Neil Gaiman,4.47,2:454,5:24823,1563891700,3:3830
25104,"The Wake (The Sandman, #10)",1:192,191,4:11158,total:41458,3,9,Vertigo,784,1999,eng,Neil Gaiman,4.52,2:474,5:26413,1563892871,3:3221
25106,"Fables & Reflections (The Sandman, #6)",1:137,263,4:14788,total:46664,10,3,DC Comics,790,1999,eng,Neil Gaiman,4.45,2:519,5:26743,1563891069,3:4477
25107,Bucolici Graeci,1:0,204,4:1,total:5,31,12,Clarendon Press,1,1952,,Andrew Sydenham Farrar Gow,4.8,2:0,5:4,0198145179,3:0
25108,On Common Ground: The Power of Professional Learning Communities,1:3,272,4:39,total:107,14,2,National Educational Service,11,2005,,Barbara Eason-Watkins,3.71,2:7,5:25,1932127429,3:33
25109,Common Ground: A Turbulent Decade in the Lives of Three American Families,1:39,688,4:622,total:2180,12,8,Vintage,195,1986,eng,J. Anthony Lukas,4.28,2:74,5:1157,0394746163,3:288
25110,Finding Common Ground: How to Communicate with those Outside the Christian Community...While We  Still Can.,1:1,208,4:47,total:116,9,8,Moody Publishers,15,1999,,Tim Downs,4.02,2:5,5:39,0802440967,3:24
25111,Common Prayer on Common Ground: A Vision of Anglican Orthodoxy,1:0,115,4:2,total:5,1,5,Morehouse Publishing,0,2006,,Alan W.  Jones,4.2,2:0,5:2,081922247X,3:1
25112,"Common Ground: The Water, Earth, and Air We Share",1:4,40,4:37,total:100,1,10,Blue Sky Press,30,1997,eng,Molly Bang,3.77,2:8,5:28,0590100564,3:23
25114,The Common Ground Dessert Cookbook,1:0,201,4:0,total:2,1,10,Ten Speed Press,0,1983,,Kolzrman,5.0,2:0,5:2,0898151139,3:0
25116,Justice and Caring: The Search for Common Ground in Education,1:0,186,4:3,total:5,9,4,Teachers College Press,1,1999,,Michael S. Katz,4.0,2:0,5:1,0807738190,3:1
25117,"Uncommon Ground: Archaeology and Early African America, 1650-1800",1:0,232,4:32,total:75,17,9,Smithsonian Books,4,2004,,Leland Ferguson,3.93,2:4,5:21,1560980591,3:18
25118,Uncommon Ground: Rethinking the Human Place in Nature,1:7,560,4:263,total:687,17,10,W. W. Norton  Company,23,1996,eng,William Cronon,4.15,2:23,5:283,0393315118,3:111
25120,Uncommon Grounds (Maggy Thorsen Mystery #1),1:21,245,4:326,total:875,1,9,Five Star Trade,41,2005,en-US,Sandra Balzo,3.62,2:77,5:166,1410402363,3:285
25121,"Uncommon Ground: Architecture, Technology, and Topography",1:0,335,4:4,total:15,22,2,MIT Press,0,2002,,David Leatherbarrow,3.4,2:4,5:3,0262621614,3:4
25122,Uncommon Ground: Creating a System of Lifetime Guidance,1:1,174,4:2,total:5,1,1,"Zeig, Tucker & Theisen",2,2006,,Erving Polster,2.8,2:1,5:0,1932462864,3:1
25128,El café: Historia de una semilla que cambió el mundo,1:31,448,4:848,total:2219,1,11,Ediciones B,1,2005,,Mark Pendergrast,3.68,2:183,5:458,9501522296,3:699
25129,The Ecological Approach to Visual Perception,1:1,348,4:56,total:158,1,9,Psychology Press,13,1986,eng,James J. Gibson,4.27,2:3,5:75,0898599598,3:23
25130,Eco-Cuisine: An Ecological Approach to Gourmet Vegetarian Cooking,1:0,288,4:2,total:8,1,7,Ten Speed Press,1,1995,,Ron Pickarski,4.0,2:0,5:3,0898156351,3:3
25132,Ways of Listening: An Ecological Approach to the Perception of Musical Meaning,1:0,237,4:6,total:15,1,5,"Oxford University Press, USA",1,2005,,Eric F. Clarke,4.13,2:1,5:6,0195151941,3:2
25134,Restoring Prairie Wetlands an Ecological Approach,1:0,246,4:0,total:0,13,3,Wiley-Blackwell,0,1998,,Susan M. Galatowitsch,0.0,2:0,5:0,0813824974,3:0
